layer,head,query,key,overlap,baseline_loss,intervened_loss,delta_loss,n_intervened,context_length
16,14,1006,0,1.0,12.5,12.5,0.0,1,1024
16,19,976,0,1.0,12.5,12.5,0.0,1,1024
16,31,552,0,1.0,12.5,12.5,0.0,1,1024
16,11,887,0,1.0,12.5,12.5,0.0,1,1024
16,17,920,0,1.0,12.5,12.5,0.0,1,1024
16,3,818,0,1.0,12.5,12.5,0.0,1,1024
16,9,622,0,1.0,12.5,12.5,0.0,1,1024
16,27,527,349,1.0,12.5,12.5,0.0,1,1024
16,11,707,0,1.0,12.5,12.5,0.0,1,1024
16,0,870,0,1.0,12.5,12.5,0.0,1,1024
16,27,873,0,1.0,12.5,12.5,0.0,1,1024
16,23,934,0,1.0,12.5,12.5,0.0,1,1024
16,10,575,0,1.0,12.5,12.5,0.0,1,1024
16,28,587,0,1.0,12.5,12.5,0.0,1,1024
16,19,632,0,1.0,12.5,12.5,0.0,1,1024
16,4,908,0,1.0,12.5,12.5,0.0,1,1024
16,4,854,333,1.0,12.5,12.5,0.0,1,1024
16,8,514,0,1.0,12.5,12.5,0.0,1,1024
16,29,520,0,1.0,12.5,12.5,0.0,1,1024
16,17,1019,0,1.0,12.5,12.5,0.0,1,1024
16,4,804,333,1.0,12.5,12.5,0.0,1,1024
16,2,961,0,1.0,12.5,12.5,0.0,1,1024
16,17,596,0,1.0,12.5,12.5,0.0,1,1024
16,19,605,0,1.0,12.5,12.5,0.0,1,1024
16,8,880,0,1.0,12.5,12.5,0.0,1,1024
16,4,662,0,1.0,12.5,12.5,0.0,1,1024
16,21,1011,0,1.0,12.5,12.5,0.0,1,1024
16,19,606,0,1.0,12.5,12.5,0.0,1,1024
16,17,780,0,1.0,12.5,12.5,0.0,1,1024
16,17,882,0,1.0,12.5,12.5,0.0,1,1024
16,24,801,0,1.0,12.5,12.5,0.0,1,1024
16,8,899,0,1.0,12.5,12.5,0.0,1,1024
16,13,984,0,1.0,12.5,12.5,0.0,1,1024
16,16,993,0,1.0,12.5,12.5,0.0,1,1024
16,0,529,0,1.0,12.5,12.5,0.0,1,1024
16,25,695,0,1.0,12.5,12.5,0.0,1,1024
16,28,847,0,1.0,12.5,12.5,0.0,1,1024
16,30,647,0,1.0,12.5,12.5,0.0,1,1024
16,29,950,0,1.0,12.5,12.5,0.0,1,1024
16,31,978,0,1.0,12.5,12.5,0.0,1,1024
16,7,620,59,1.0,12.5,12.5,0.0,1,1024
16,15,961,0,1.0,12.5,12.5,0.0,1,1024
16,23,841,0,1.0,12.5,12.5,0.0,1,1024
16,28,842,0,1.0,12.5,12.5,0.0,1,1024
16,2,891,0,1.0,12.5,12.5,0.0,1,1024
16,20,885,0,1.0,12.5,12.5,0.0,1,1024
16,17,912,0,1.0,12.5,12.5,0.0,1,1024
16,3,909,0,1.0,12.5,12.5,0.0,1,1024
16,27,919,349,1.0,12.5,12.5,0.0,1,1024
16,3,513,0,1.0,12.5,12.5,0.0,1,1024
16,6,732,0,1.0,12.5,12.5,0.0,1,1024
16,23,744,0,1.0,12.5,12.5,0.0,1,1024
16,0,619,0,1.0,12.5,12.5,0.0,1,1024
16,31,1016,0,1.0,12.5,12.5,0.0,1,1024
16,29,965,0,1.0,12.5,12.5,0.0,1,1024
16,20,713,0,1.0,12.5,12.5,0.0,1,1024
31,13,580,0,1.0,12.5,12.5,0.0,1,1024
31,13,698,0,1.0,12.5,12.5,0.0,1,1024
31,1,616,0,1.0,12.5,12.5,0.0,1,1024
31,17,700,0,1.0,12.5,12.5,0.0,1,1024
31,31,756,0,1.0,12.5,12.5,0.0,1,1024
31,6,872,0,1.0,12.5,12.5,0.0,1,1024
31,17,666,0,1.0,12.5,12.5,0.0,1,1024
31,1,670,0,1.0,12.5,12.5,0.0,1,1024
31,29,901,183,1.0,12.5,12.5,0.0,1,1024
31,29,572,54,1.0,12.5,12.5,0.0,1,1024
31,1,514,0,1.0,12.5,12.5,0.0,1,1024
31,26,990,45,1.0,12.5,12.5,0.0,1,1024
31,22,714,0,1.0,12.5,12.5,0.0,1,1024
31,25,739,0,1.0,12.5,12.5,0.0,1,1024
31,31,544,0,1.0,12.5,12.5,0.0,1,1024
31,5,1007,0,1.0,12.5,12.5,0.0,1,1024
31,9,916,597,1.0,12.5,12.5,0.0,1,1024
31,6,774,0,1.0,12.5,12.5,0.0,1,1024
31,9,613,597,1.0,12.5,12.5,0.0,1,1024
31,6,560,4,1.0,12.5,12.5,0.0,1,1024
31,27,577,0,1.0,12.5,12.5,0.0,1,1024
31,22,788,110,1.0,12.5,12.5,0.0,1,1024
31,4,1010,0,1.0,12.5,12.5,0.0,1,1024
31,19,942,0,1.0,12.5,12.5,0.0,1,1024
31,4,983,0,1.0,12.5,12.5,0.0,1,1024
31,25,665,0,1.0,12.5,12.5,0.0,1,1024
31,17,710,0,1.0,12.5,12.5,0.0,1,1024
31,17,1005,0,1.0,12.5,12.5,0.0,1,1024
31,28,622,0,1.0,12.5,12.5,0.0,1,1024
31,31,735,0,1.0,12.5,12.5,0.0,1,1024
31,22,902,54,1.0,12.5,12.5,0.0,1,1024
31,12,655,458,1.0,12.5,12.5,0.0,1,1024
31,6,712,0,1.0,12.5,12.5,0.0,1,1024
31,14,610,241,1.0,12.5,12.5,0.0,1,1024
31,1,673,0,1.0,12.5,12.5,0.0,1,1024
31,27,617,0,1.0,12.5,12.5,0.0,1,1024
31,6,707,0,1.0,12.5,12.5,0.0,1,1024
31,16,851,4,1.0,12.5,12.5,0.0,1,1024
31,27,1011,0,1.0,12.5,12.5,0.0,1,1024
31,2,587,565,1.0,12.5,12.5,0.0,1,1024
31,6,587,0,1.0,12.5,12.5,0.0,1,1024
31,18,698,183,1.0,12.5,12.5,0.0,1,1024
31,8,786,0,1.0,12.5,12.5,0.0,1,1024
31,21,831,822,1.0,12.5,12.5,0.0,1,1024
31,6,771,0,1.0,12.5,12.5,0.0,1,1024
31,20,953,0,1.0,12.5,12.5,0.0,1,1024
31,19,996,0,1.0,12.5,12.5,0.0,1,1024
31,11,569,0,1.0,12.5,12.5,0.0,1,1024
31,2,753,608,1.0,12.5,12.5,0.0,1,1024
31,19,995,4,1.0,12.5,12.5,0.0,1,1024
31,12,678,565,1.0,12.5,12.5,0.0,1,1024
31,3,788,183,1.0,12.5,12.5,0.0,1,1024
31,5,827,0,1.0,12.5,12.5,0.0,1,1024
31,10,606,0,1.0,12.5,12.5,0.0,1,1024
31,20,601,0,1.0,12.5,12.5,0.0,1,1024
31,22,990,157,1.0,12.5,12.5,0.0,1,1024
31,6,932,0,1.0,12.5,12.5,0.0,1,1024
31,16,528,0,1.0,12.5,12.5,0.0,1,1024
31,16,990,0,1.0,12.5,12.5,0.0,1,1024
31,13,653,0,1.0,12.5,12.5,0.0,1,1024
31,31,562,0,1.0,12.5,12.5,0.0,1,1024
31,16,756,4,1.0,12.5,12.5,0.0,1,1024
31,13,1009,0,1.0,12.5,12.5,0.0,1,1024
31,2,887,597,1.0,12.5,12.5,0.0,1,1024
